"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"",""race-table_rt_login_button__FpopS"""
"1,""11:48:09"",""Yeray DURAN"",""https://utmb.world/en/runner/11756.yeray.duran"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"2,""12:11:22"",""Alberto VINAGRE"",""https://utmb.world/en/runner/482522.alberto.vinagre"",""Spain"",""men"",""20-34"",""Login to access the UTMB Index"""
"3,""12:20:47"",""David LUTZARDO"",""https://utmb.world/en/runner/11750.david.lutzardo"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"4,""12:31:47"",""Ion AZPIROZ"",""https://utmb.world/en/runner/13274.ion.azpiroz"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"5,""12:51:19"",""Juan CHACON"",""https://utmb.world/en/runner/759628.juan.chacon"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"6,""13:28:24"",""Jose Manuel LEON"",""https://utmb.world/en/runner/11764.josemanuel.leon"",""Spain"",""men"",""45-49"",""Login to access the UTMB Index"""
"7,""13:28:25"",""Agustin REYES"",""https://utmb.world/en/runner/226273.agustin.reyes"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"8,""13:32:20"",""Ricardo LUIS TRUJILLO"",""https://utmb.world/en/runner/550995.ricardo.luistrujillo"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"9,""13:35:22"",""Mark DARBYSHIRE"",""https://utmb.world/en/runner/1774285.mark.darbyshire"",""United Kingdom"",""men"",""40-44"",""Login to access the UTMB Index"""
"10,""13:37:57"",""Manuel Alexis MARTÍN LORENZO"",""https://utmb.world/en/runner/375547.manuelalexis.martinlorenzo"",""Spain"",""men"",""20-34"",""Login to access the UTMB Index"""
"11,""13:41:44"",""Sange SHERPA"",""https://utmb.world/en/runner/6302.sange.sherpa"",""Nepal"",""men"",""35-39"",""Login to access the UTMB Index"""
"12,""13:52:49"",""Salvador OLIVAS"",""https://utmb.world/en/runner/1109767.salvador.olivas"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"13,""14:08:55"",""David DÍAZ AMADOR"",""https://utmb.world/en/runner/2616413.david.diazamador"",""Spain"",""men"",""20-34"",""Login to access the UTMB Index"""
"14,""14:10:33"",""Daniel ALONSO-SAYAR"",""https://utmb.world/en/runner/717591.daniel.alonsosayar"",""Spain"",""men"",""20-34"",""Login to access the UTMB Index"""
"15,""14:11:26"",""Roberto MARRERO PEREZ"",""https://utmb.world/en/runner/12634.roberto.marreroperez"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"16,""14:20:59"",""Tini GARCIA"",""https://utmb.world/en/runner/380950.tini.garcia"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"17,""14:27:23"",""Alberto SANCHEZ-BUSTARA"",""https://utmb.world/en/runner/172475.alberto.sanchezbustara"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"18,""14:36:41"",""Leire MARTINEZ"",""https://utmb.world/en/runner/469697.leire.martinez"",""Spain"",""women"",""40-44"",""Login to access the UTMB Index"""
"19,""14:37:57"",""Santiago GARCIA-SORIA"",""https://utmb.world/en/runner/13639.santiago.garciasoria"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"20,""14:43:05"",""Josue ARAN-GARCIA"",""https://utmb.world/en/runner/730959.josue.arangarcia"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"21,""14:45:22"",""Jesus-Emilio CASTRO-PEREZ"",""https://utmb.world/en/runner/381145.jesusemilio.castroperez"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"22,""14:46:51"",""David CATALAN-CORELLA"",""https://utmb.world/en/runner/126025.david.catalancorella"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"23,""14:49:26"",""Marta MUIXI"",""https://utmb.world/en/runner/156128.marta.muixi"",""Spain"",""women"",""35-39"",""Login to access the UTMB Index"""
"24,""14:53:02"",""Javier TEJEDOR DIAZ"",""https://utmb.world/en/runner/1467585.javier.tejedordiaz"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"25,""14:53:07"",""Juan-Carlos RODRIGUEZ-CASTILLA"",""https://utmb.world/en/runner/11776.juancarlos.rodriguezcastilla"",""Spain"",""men"",""50-54"",""Login to access the UTMB Index"""
"26,""14:53:48"",""Gianluca GALEATI"",""https://utmb.world/en/runner/20967.gianluca.galeati"",""Italy"",""men"",""35-39"",""Login to access the UTMB Index"""
"27,""14:55:35"",""Marcos Javier LUIS GONZALEZ"",""https://utmb.world/en/runner/234605.marcosjavier.luisgonzalez"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"28,""14:56:32"",""Miguel GARCIA GUTIERREZ"",""https://utmb.world/en/runner/234731.miguel.garciagutierrez"",""Spain"",""men"",""60-64"",""Login to access the UTMB Index"""
"29,""15:03:54"",""Aleksandar DOMAZETOVIC"",""https://utmb.world/en/runner/56161.aleksandar.domazetovic"",""Montenegro"",""men"",""20-34"",""Login to access the UTMB Index"""
"30,""15:09:42"",""Jose Antonio RODRIGUEZ"",""https://utmb.world/en/runner/718061.joseantonio.rodriguez"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"31,""15:11:06"",""Xerach RODRIGUEZ SANTANA"",""https://utmb.world/en/runner/587400.xerach.rodriguezsantana"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"32,""15:11:48"",""Ioannis KOYRKOYRIKIS"",""https://utmb.world/en/runner/3156687.ioannis.koyrkoyrikis"",""Greece"",""men"",""45-49"",""Login to access the UTMB Index"""
"33,""15:15:13"",""Jose Javier ROLDAN GARCIA"",""https://utmb.world/en/runner/1510317.josejavier.roldangarcia"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"34,""15:17:15"",""Jose Luis IGLESIAS"",""https://utmb.world/en/runner/452081.joseluis.iglesias"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"35,""15:23:09"",""Irene GUEMBE IBANEZ"",""https://utmb.world/en/runner/1334205.irene.guembeibanez"",""Spain"",""women"",""35-39"",""Login to access the UTMB Index"""
"36,""15:24:05"",""John BENAMATI"",""https://utmb.world/en/runner/441156.john.benamati"",""Italy"",""men"",""45-49"",""Login to access the UTMB Index"""
"37,""15:25:33"",""Angel VILLEN"",""https://utmb.world/en/runner/234881.angel.villen"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"38,""15:27:03"",""Aurelio TOCA RODRIGUEZ"",""https://utmb.world/en/runner/1286217.aurelio.tocarodriguez"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"39,""15:28:29"",""Arkaitz ITURRIAGA-ETXEBARRIA"",""https://utmb.world/en/runner/513836.arkaitz.iturriagaetxebarria"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"40,""15:28:30"",""Unai AIZPURU"",""https://utmb.world/en/runner/3156689.unai.aizpuru"",""Spain"",""men"",""35-39"",""Login to access the UTMB Index"""
"41,""15:35:24"",""Daniel SANTOS GARRIDO"",""https://utmb.world/en/runner/1242193.daniel.santosgarrido"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
"42,""15:41:51"",""Jordi PINYOL"",""https://utmb.world/en/runner/13399.jordi.pinyol"",""Spain"",""men"",""40-44"",""Login to access the UTMB Index"""
