"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"1,""12:54:16"",""David CALERO RODRÍGUEZ"",""https://utmb.world/en/runner/563770.david.calerorodriguez"",""Spain"",""men"",""20-34"""
"2,""13:06:33"",""Lucien EPINEY"",""https://utmb.world/en/runner/65183.lucien.epiney"",""Switzerland"",""men"",""40-44"""
"3,""13:38:02"",""Manuel Alexis MARTÍN LORENZO"",""https://utmb.world/en/runner/375547.manuelalexis.martinlorenzo"",""Spain"",""men"",""20-34"""
"4,""13:44:07"",""Javier SOSA"",""https://utmb.world/en/runner/587674.javier.sosa"",""Spain"",""men"",""35-39"""
"5,""14:02:26"",""Tini GARCIA"",""https://utmb.world/en/runner/380950.tini.garcia"",""Spain"",""men"",""40-44"""
"6,""14:07:35"",""Sebastien BUFFARD"",""https://utmb.world/en/runner/5963.sebastien.buffard"",""France"",""men"",""40-44"""
"7,""14:09:41"",""Carmelo GONZALEZ RODRIGUEZ"",""https://utmb.world/en/runner/264626.carmelo.gonzalezrodriguez"",""Spain"",""men"",""40-44"""
"8,""14:16:31"",""Aurelien COLLET"",""https://utmb.world/en/runner/29987.aurelien.collet"",""France"",""men"",""40-44"""
"9,""14:28:06"",""Yuriy PIKH KORZHYLOVA"",""https://utmb.world/en/runner/4250557.yuriy.pikhkorzhylova"",""Spain"",""men"",""U18"""
"10,""14:36:25"",""Maryline NAKACHE"",""https://utmb.world/en/runner/1039833.maryline.nakache"",""France"",""women"",""35-39"""
"11,""14:40:25"",""Arcadio ARAUJO"",""https://utmb.world/en/runner/583050.arcadio.araujo"",""Spain"",""men"",""45-49"""
"12,""14:40:26"",""Javier BOTRAN DE LEON"",""https://utmb.world/en/runner/551020.javier.botrandeleon"",""Spain"",""men"",""35-39"""
"13,""14:43:55"",""Francisco ESTEVEZ"",""https://utmb.world/en/runner/160753.francisco.estevez"",""Spain"",""men"",""35-39"""
"14,""14:57:53"",""Jose-Manuel RODRIGUEZ-GOMEZ"",""https://utmb.world/en/runner/391521.josemanuel.rodriguezgomez"",""Spain"",""men"",""45-49"""
"15,""15:10:27"",""Claire BANNWARTH"",""https://utmb.world/en/runner/1157897.claire.bannwarth"",""France"",""women"",""20-34"""
"16,""15:28:27"",""Esteban GARCIA"",""https://utmb.world/en/runner/12383.esteban.garcia"",""Spain"",""men"",""40-44"""
