"position,""left"",""full_name"",""full_name href"",""right"",""right 2"",""hidden"",""truncate"",""center 2"",""center 3"",""center 4"",""hidden 3"",""hidden 4"",""left 2""";
"1,""3"",""Yeray DURÁN LÓPEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1495576306428&method=ResAtletaUid"",""1"",""1 VETA-M"",""VETA"",""BUFF PRO TEAM"",""11:29:47"",""07:06"",""00:00:00"",""14006"",""M"",""""";
"2,""5"",""Ion AZPIROZ AZPIROZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1485159675171&method=ResAtletaUid"",""2"",""1 SEN-M"",""SEN"",""HOKA ONE SPAIN"",""12:10:42"",""07:31"",""00:40:55"",""14008"",""M"",""""";
"3,""1"",""Sangé SHERPA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492064100901&method=ResAtletaUid"",""3"",""2 SEN-M"",""SEN"",""TEAM INSTINCT"",""12:39:04"",""07:49"",""01:09:17"",""14008"",""M"",""""";
"4,""486"",""Erlantz ZALDUNBIDE LEGARRA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1485977302108&method=ResAtletaUid"",""4"",""3 SEN-M"",""SEN"",""Zaldai Mendi Taldea"",""12:51:22"",""07:57"",""01:21:35"",""14008"",""M"",""""";
"5,""340"",""Jose Ramon ORTIZ GONZALEZ CARBALLO"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1481290967983&method=ResAtletaUid"",""5"",""4 SEN-M"",""SEN"",""Ferro Trail"",""12:54:08"",""07:58"",""01:24:21"",""14008"",""M"",""1 LOC-M""";
"6,""339"",""Ángel Manuel ORTEGA SANTANA"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535749862&method=ResAtletaUid"",""6"",""2 VETA-M"",""VETA"",""Guagua infinito Trail"",""13:42:17"",""08:28"",""02:12:30"",""14006"",""M"",""""";
"7,""30"",""Aarón David ARENCIBIA RODRÍGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1466535746167&method=ResAtletaUid"",""7"",""5 SEN-M"",""SEN"",""BAIFOS TRAIL"",""13:56:07"",""08:37"",""02:26:20"",""14008"",""M"",""2 LOC-M""";
"8,""10"",""Christelle BARD"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1492064098868&method=ResAtletaUid"",""1-F"",""1 SEN-F"",""SEN"",""-"",""13:58:07"",""08:38"",""02:28:20"",""14001"",""F"",""""";
"9,""197"",""Juan Antonio GONZALEZ RODRIGUEZ"",""https://tenerifebluetrail.com/tracking_datatables/es/runner.html?ev=127&o=947&l=en&m=1410&e=FIN&u=1465705230915&method=ResAtletaUid"",""8"",""3 VETA-M"",""VETA"",""-"",""14:10:03"",""08:45"",""02:40:16"",""14006"",""M"",""3 LOC-M""";
