"pl,""do"",""tablescraper-selected-row"",""flg src"",""tablescraper-selected-row 2"",""c"",""tablescraper-selected-row 3"",""tp"",""tp 2"",""tp 3"",""tp 4"",""tp 5"",""tp 6"",""tp 7"",""tablescraper-selected-row 4"",""c 2"""
"1.,""1"",""Cristofer CLEMENTE MORA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""SALOMON"",""Hombre"",""ABS M"",""2:13:52"",""3:49:34"",""4:54:12"",""5:34:31"",""7:28:22"",""7:55:17"",""8:39:23"",""7,39"",""1"""
"2.,""21"",""Ionel Cristian MANOLE"",""https://www.chronorace.es/carreras/flag/24/RO.png"",""PERLAS COLMENAR"",""Hombre"",""ABS M"",""2:13:40"",""3:54:03"",""5:01:07"",""5:44:12"",""7:48:51"",""8:20:29"",""9:11:00"",""6,97"",""2"""
"3.,""10"",""Fran RODRIGUEZ MARTIN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ARISTA PRO-TEAM"",""Hombre"",""ABS M"",""2:23:33"",""4:05:35"",""5:13:31"",""6:00:33"",""8:05:06"",""8:36:41"",""9:24:32"",""6,80"",""3"""
"4.,""20"",""Rubén VIGIL CHACÓN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CARRERASDEMONTANA.COM"",""Hombre"",""ABS M"",""2:13:42"",""4:00:20"",""5:25:08"",""6:14:10"",""8:26:04"",""8:59:01"",""9:50:23"",""6,50"",""4"""
"5.,""178"",""Albi CEDRÉS VIÑOLES"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""lanzarunning"",""Hombre"",""ABS M"",""2:26:41"",""4:12:01"",""5:25:22"",""6:09:48"",""8:18:18"",""8:53:51"",""9:50:23"",""6,50"",""5"""
"6.,""23"",""Sandro GONZÁLEZ MARTÍN"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""KUKIMBIA SANTIAGO DEL TEIDE"",""Hombre"",""ABS M"",""2:22:34"",""4:09:54"",""5:32:18"",""6:19:34"",""8:38:19"",""9:18:17"",""10:07:25"",""6,32"",""6"""
"7.,""5"",""Dani SANTANA GARCÍA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""ARISTA PRO-TEAM"",""Hombre"",""ABS M"",""2:13:53"",""3:56:02"",""5:14:40"",""6:07:41"",""8:34:05"",""9:11:51"",""10:09:55"",""6,30"",""7"""
"8.,""22"",""Angel JÁBEGA MURADO"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""XENDASTUR"",""Hombre"",""ABS M"",""2:22:36"",""4:11:12"",""5:28:05"",""6:17:25"",""8:34:15"",""9:18:37"",""10:18:38"",""6,21"",""8"""
"9.,""7"",""Jose Manuel LEON MEDINA"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""TENERIFETRAIL"",""Hombre"",""VET M"",""2:22:20"",""4:05:55"",""5:25:08"",""6:14:15"",""8:46:28"",""9:22:02"",""10:20:28"",""6,19"",""1"""
"10.,""76"",""David DIAZ AMADOR"",""https://www.chronorace.es/carreras/flag/24/ES.png"",""CLATOR"",""Hombre"",""ABS M"",""2:31:27"",""4:25:21"",""5:43:33"",""6:34:13"",""8:57:56"",""9:37:17"",""10:31:30"",""6,08"",""9"""
