"my-table_cell__z__zN,""my-table_cell__z__zN 2"",""link_link__96ppl"",""link_link__96ppl href"",""my-table_cell__z__zN 3"",""my-table_cell__z__zN 4"",""my-table_cell__z__zN 5"""
"1,""07:37:26"",""Perr AURELL"",""https://utmb.world/en/runner/13632.perr.aurell"",""Spain"",""men"",""35-39"""
"2,""07:38:22"",""Dmitry MITYAEV"",""https://utmb.world/en/runner/480408.dmitry.mityaev"",""Russia"",""men"",""20-34"""
"3,""07:42:49"",""Thibaut GARRIVIER"",""https://utmb.world/en/runner/154454.thibaut.garrivier"",""France"",""men"",""20-34"""
"4,""07:44:26"",""Marco DE GASPERI"",""https://utmb.world/en/runner/60956.marco.degasperi"",""Italy"",""men"",""40-44"""
"5,""07:46:53"",""Xavier THEVENARD"",""https://utmb.world/en/runner/28282.xavier.thevenard"",""France"",""men"",""20-34"""
"6,""07:48:44"",""Manuel ANGUITA"",""https://utmb.world/en/runner/457047.manuel.anguita"",""Spain"",""men"",""20-34"""
"7,""07:51:40"",""Daniel JUNG"",""https://utmb.world/en/runner/487870.daniel.jung"",""Italy"",""men"",""35-39"""
"8,""07:53:01"",""Hannes NAMBERGER"",""https://utmb.world/en/runner/1008473.hannes.namberger"",""Germany"",""men"",""20-34"""
"9,""07:54:22"",""Morgan ELLIOTT"",""https://utmb.world/en/runner/644730.morgan.elliott"",""United States"",""men"",""20-34"""
"10,""07:59:16"",""Daniel GARCIA"",""https://utmb.world/en/runner/976449.daniel.garcia"",""Panama"",""men"",""20-34"""
"11,""08:05:42"",""Michel LANNE"",""https://utmb.world/en/runner/8126.michel.lanne"",""France"",""men"",""20-34"""
"12,""08:07:58"",""Cole WATSON"",""https://utmb.world/en/runner/1103079.cole.watson"",""United States"",""men"",""20-34"""
"13,""08:14:18"",""Cody REED"",""https://utmb.world/en/runner/876797.cody.reed"",""United States"",""men"",""20-34"""
"14,""08:17:19"",""Francesc SOLE"",""https://utmb.world/en/runner/106875.francesc.sole"",""Spain"",""men"",""35-39"""
"15,""08:19:45"",""Benoit CRETIEN"",""https://utmb.world/en/runner/8951.benoit.cretien"",""France"",""men"",""35-39"""
"16,""08:21:57"",""Franco COLLE"",""https://utmb.world/en/runner/117616.franco.colle"",""Italy"",""men"",""40-44"""
"17,""08:26:09"",""Diego ARROYO"",""https://utmb.world/en/runner/279442.diego.arroyo"",""Spain"",""men"",""20-34"""
"18,""08:30:54"",""Estanislao RIVERO GARCÍA"",""https://utmb.world/en/runner/234869.estanislao.riverogarcia"",""Spain"",""men"",""35-39"""
"19,""08:34:26"",""Raul BUTACI"",""https://utmb.world/en/runner/669176.raul.butaci"",""Romania"",""men"",""20-34"""
"20,""08:35:39"",""Jan MRAZEK"",""https://utmb.world/en/runner/2082813.jan.mrazek"",""Czech Republic"",""men"",""35-39"""
"21,""08:37:45"",""Antonio MANJON"",""https://utmb.world/en/runner/983521.antonio.manjon"",""Spain"",""men"",""45-49"""
"22,""08:38:13"",""Peter FRANO"",""https://utmb.world/en/runner/1238361.peter.frano"",""Slovakia"",""men"",""20-34"""
"23,""08:39:30"",""Christophe ANSELMO"",""https://utmb.world/en/runner/425540.christophe.anselmo"",""France"",""men"",""20-34"""
"24,""08:40:17"",""Samuel FERNANDEZ-PEREZ"",""https://utmb.world/en/runner/272813.samuel.fernandezperez"",""Spain"",""men"",""20-34"""
"25,""08:40:43"",""Ida NILSSON"",""https://utmb.world/en/runner/691388.ida.nilsson"",""Sweden"",""women"",""35-39"""
"26,""08:42:13"",""Abel ABAD"",""https://utmb.world/en/runner/456535.abel.abad"",""Spain"",""men"",""35-39"""
"27,""08:44:00"",""Clement DURANCE"",""https://utmb.world/en/runner/571847.clement.durance"",""France"",""men"",""20-34"""
"28,""08:46:57"",""Monica COMAS"",""https://utmb.world/en/runner/797512.monica.comas"",""Spain"",""women"",""20-34"""
"29,""08:48:22"",""Charalampos KALAMPOUKAS"",""https://utmb.world/en/runner/723503.charalampos.kalampoukas"",""Greece"",""men"",""35-39"""
"30,""08:49:45"",""Kelly WOLF"",""https://utmb.world/en/runner/806777.kelly.wolf"",""United States"",""women"",""20-34"""
