"tablescraper-selected-row,""tablescraper-selected-row 2"",""tablescraper-selected-row href"",""tablescraper-selected-row src"",""tablescraper-selected-row 3"",""tablescraper-selected-row 4"",""tablescraper-selected-row 5"",""tablescraper-selected-row 6"",""tablescraper-selected-row src 2"""
"1,""Garrivier Thibaut"",""https://itra.run/RunnerSpace/Garrivier.Thibaut/154454"",""https://itra.run/Files/Photos/pic70631_c53ae06e.jpg"",""7:11:04"",""29"",""H"",""FRA"",""https://itra.run/images/CountryFlags/fr.svg"""
"2,""MITYAEV Dmitry"",""https://itra.run/RunnerSpace/MITYAEV.Dmitry/480408"",""https://itra.run/Files/Photos/pic10932_287383da.jpg"",""7:14:23"",""28"",""H"",""RUS"",""https://itra.run/images/CountryFlags/ru.svg"""
"3,""ENGDAHL Petter"",""https://itra.run/RunnerSpace/ENGDAHL.Petter/1065223"",""https://itra.run/Files/Photos/2b568f4f8424487182410723a3d1c869.jpg"",""7:21:28"",""25"",""H"",""SWE"",""https://itra.run/images/CountryFlags/se.svg"""
"4,""ALBON Jonathan"",""https://itra.run/RunnerSpace/ALBON.Jonathan/527631"",""https://itra.run/Files/Photos/b8d370d7ac89402b94091e8d6ff24175.jpg"",""7:36:34"",""30"",""H"",""GBR"",""https://itra.run/images/CountryFlags/gb.svg"""
"5,""PAZOS Diego"",""https://itra.run/RunnerSpace/PAZOS.Diego/42923"",""https://itra.run/Files/Photos/pic3081_683da709.jpg"",""7:41:48"",""35"",""H"",""SUI"",""https://itra.run/images/CountryFlags/ch.svg"""
"6,""HUAMAN Remigio"",""https://itra.run/RunnerSpace/HUAMAN.Remigio/879725"",""https://itra.run/images/member-pics/default.jpg"",""7:45:27"",""36"",""H"",""PER"",""https://itra.run/images/CountryFlags/pe.svg"""
"7,""KING Max"",""https://itra.run/RunnerSpace/KING.Max/4657"",""https://itra.run/images/member-pics/default.jpg"",""7:50:24"",""39"",""H"",""USA"",""https://itra.run/images/CountryFlags/us.svg"""
"8,""ANGUITA Manuel"",""https://itra.run/RunnerSpace/ANGUITA.Manuel/457047"",""https://itra.run/Files/Photos/pic11086_7d4b54e2.jpg"",""8:02:15"",""28"",""H"",""ESP"",""https://itra.run/images/CountryFlags/es.svg"""
"9,""REICHERT Florian"",""https://itra.run/RunnerSpace/REICHERT.Florian/279430"",""https://itra.run/Files/Photos/pic4911_32896942.jpg"",""8:04:10"",""37"",""H"",""GER"",""https://itra.run/images/CountryFlags/de.svg"""
"10,""Namberger Hannes"",""https://itra.run/RunnerSpace/Namberger.Hannes/1008473"",""https://itra.run/Files/Photos/pic129055_66b7de68.jpg"",""8:06:48"",""30"",""H"",""GER"",""https://itra.run/images/CountryFlags/de.svg"""
"11,""DEBATS Ragna"",""https://itra.run/RunnerSpace/DEBATS.Ragna/13726"",""https://itra.run/Files/Photos/pic199621_43fb38d2.jpg"",""8:09:25"",""40"",""F"",""NED"",""https://itra.run/images/CountryFlags/nl.svg"""
