"font-d-16,""rank-sup_rankSup__TNqsa"",""race-progressive-ranking_linkUnderline__9ReuG"",""race-progressive-ranking_linkUnderline__9ReuG href"",""font-d-16 2"",""font-d-12"",""font-d-16 3"",""font-d-12 2"",""font-d-16 4"",""font-d-16 5"",""font-d-16 6"",""font-d-16 7"""
"1,""to"",""Petter ENGDAHL"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1"",""1"",""SE"",""20-34M"",""Adidas TERREX"",""1"",""1"",""07:10:29"",""00:00:00"""
"2,""to"",""Miguel Angel HERAS HERNANDEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/3"",""3"",""ES"",""45-49M"",""Salomon"",""1"",""2"",""07:42:32"",""00:32:03"""
"3,""to"",""Cristofer CLEMENTE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/23"",""23"",""ES"",""35-39M"",""HOKA"",""1"",""3"",""07:45:32"",""00:35:03"""
"4,""to"",""Joaquin LOPEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/49"",""49"",""EC"",""20-34M"",""Imptek / Kailas"",""2"",""4"",""08:00:02"",""00:49:33"""
"5,""to"",""Omar EZACRITI"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/32"",""32"",""MA"",""20-34M"","""",""3"",""5"",""08:10:41"",""01:00:12"""
"6,""to"",""Jean-Baptiste LALART"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/69"",""69"",""FR"",""35-39M"",""TTL"",""2"",""6"",""08:18:44"",""01:08:15"""
"7,""to"",""Jesus J. ORTEGA RUIZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/64"",""64"",""ES"",""45-49M"",""Tesoro de Torredonjimeno"",""2"",""7"",""08:24:01"",""01:13:32"""
"8,""to"",""MANUEL ALEXIS MARTIN"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1244"",""1244"",""ES"",""20-34M"",""LURBEL CANARIAS GRANDESPORT"",""4"",""8"",""08:24:38"",""01:14:09"""
"9,""to"",""Josh WADE"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/19"",""19"",""GB"",""20-34M"","""",""5"",""9"",""08:28:51"",""01:18:22"""
"10,""to"",""Abby HALL"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/2"",""2"",""US"",""20-34F"",""adidas TERREX"",""1"",""1"",""08:29:10"",""01:18:41"""
"11,""to"",""Jakob HERRMANN"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/15"",""15"",""AT"",""35-39M"",""Dynafit Squad"",""3"",""10"",""08:31:51"",""01:21:22"""
"12,""to"",""Bastien MISSUD"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/215"",""215"",""AU"",""35-39M"",""RUN CREW"",""4"",""11"",""08:37:29"",""01:27:00"""
"13,""to"",""Sau DOMENECH ALVAREZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/33"",""33"",""ES"",""20-34M"",""BICIAT"",""6"",""12"",""08:46:55"",""01:36:26"""
"14,""to"",""Yngvild KASPERSEN"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/20"",""20"",""NO"",""20-34F"",""adidas TERREX"",""2"",""2"",""08:47:03"",""01:36:34"""
"15,""to"",""SAMUEL FERNANDEZ"",""https://live.utmb.world/es/transvulcaniabyutmb/runners/1156"",""1156"",""ES"",""35-39M"",""Trecus La Palma"",""5"",""13"",""08:48:46"",""01:38:17"""
